accessno,acqvalue,appnotes,appraisor,authorx,callno,caption,catby,catdate,classes,collection,conddate,condexam,condition,condnotes,controlno,copyno,creator,credit,curvalmax,curvalue,dataset,date,descrip,dispvalue,earlydate,edition,event,exhibitno,exhlabel1,exhlabel2,exhlabel3,exhlabel4,exhstart,flagdate,flagnotes,flagreason,gparent,homeloc,imagefile,imageno,inscomp,insdate,insphone,inspremium,insrep,insvalue,invnby,invndate,isbn,issn,language,latdeg,latedate,lccn,legal,loancond,loandue,loaninno,loanno,locfield1,locfield2,locfield3,locfield4,locfield5,locfield6,longdeg,maintcycle,maintdate,maintnote,notes,objectid,objname,objname2,objname3,objnames,oldno,otherno,parent,people,physdesc,policyno,provenance,publisher,pubnotes,pubplace,recas,recdate,recfrom,relnotes,series,seriesx,site,siteno,sitesadded,spinelbl,status,statusby,statusdate,sterms,subjects,tempauthor,tempby,tempdate,temploc,tempnotes,tempreason,tempuntil,title,titlex,tlocfield1,tlocfield2,tlocfield3,tlocfield4,tlocfield5,tlocfield6,udf1,udf10,udf11,udf12,udf13,udf14,udf15,udf16,udf17,udf18,udf19,udf2,udf20,udf21,udf22,udf3,udf4,udf5,udf6,udf7,udf8,udf9,updated,updatedby,valuedate,webinclude,webrights,ppid
E-008,0,,,,E-008,,,2024-01-25,,,,,,,,0,Eva March Tappan,,0,0,,,Poetry ,,0,,,0,,,,,,,,,,,065\E008.JPG                                                ,3,,,,,,0,,,,,,0,0,,,,,,0,,,,,,,0,,2024-01-25,,,E-008,book,,,,,,,,faded brown cover with plain block letter for the title andblack ink.. It is faded on the top[ cover as it looks darker brown on the spine and back,,,Houghton Mifflin Co.,,,,,,,,,,,,,,,,,poems and old fashioned  stories,,,,,,,,The Childrens Hour 9,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,2024-01-25T16:02:36,Unknown,,false,,2ECBA22F-9FD0-48EE-B411-242962353247
E-009,0,,,,E-009,Iroquois math book,,2024-01-25,,,,,,,,0,Degroat Firman Smith,,0,0,,,Iroquois math book,,0,,,0,,,,,,,,,,,065\E009.JPG                                                ,2,,,,,,0,,,,,english,0,0,,,,,,0,,,,,,,0,,2024-01-25,,,E-009,book,,,,,,,,This is a green book with dark green writing on it for the title and information aslo showcases a Native American with Headress 318 pages,,,Iroquois Publishing Co.,,,,,,,,,,,,,,,,,math,,,,,,,,Iroquois Arithmetics Book 1,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,2024-01-25T16:04:33,Unknown,,false,,3886463F-9561-464E-BEDC-517601869820
E-010,0,,,,E-010,1880 us census,muecke,2024-01-25,,,,,,,,0,,,0,0,,1880,This is a huge black book that is the censu,,0,,,0,,,,,,,,,,,065\E010.JPG                                                ,4,,,,,,0,,,,,,0,0,,,,,,0,,,,,,,0,,2024-01-25,,,E-010,book,,,,,,,,Large black book with yellowed papges.,,,,,,,,,,,,,,,,,,,,,,,,,,,,10th Census of the United States 1880,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,2024-01-25T15:26:19,Unknown,,false,,BC317FA9-B07A-46EC-998A-831354033720
E-292,0,,,,E-292,Pilgrims Progress,muecke,2024-01-26,,,,,,,,0,John Bunyan,,0,0,,,,,0,,,0,,,,,,,,,,,065\E292.JPG                                                ,2,,,,,,0,,,,,,0,0,,,,,,0,,,,,,,0,,2024-01-26,,,E-292,book,,,,,,,,"Red cover with black decoration,  The spine has the title in gold writing",,,John Potter and Co,,,,,,,,,,,,,,,,,,,,,,,,,Pilgrims Progress,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,2024-01-26T09:19:12,Unknown,,false,,5BDC074E-BE3B-48BD-8E3C-555782718360
E-311,0,,,Narrative of 1757,E-311,Last of the Mohicans,muecke,2024-01-26,,,,,,,,0,James Fenmore Cooper,,0,0,,1903,,,0,,,0,,,,,,,,,,,065\E311.JPG                                                ,2,,,,,,0,,,,,,0,0,,,,,,0,,,,,,,0,,2024-01-26,,,E-311,book,,,,,,,,Grey cover with worn out black title name.Held together with red duct tape. Cover is mostly unatached. Spine is taped with the title in white,,,Scott Foresman &Co,,,,,,,,,,,,,,,,,Nativr American,,,,,,,,Last of the Mohicans,Edited for Schoo use by  Lewis,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,2024-01-26T09:26:48,Unknown,,false,,6C82121E-8CFC-47AB-AA5A-363010306421
E-301,0,,,Spanish Novelist from 1547-1616,E-301,Don Quixote,muecke,2024-01-26,,,,,,,,0,Miguel Cervantes Saavedra,,0,0,,,This rewrite was completed in one volume,,0,,,0,,,,,,,,,,,065\E301.JPG                                                ,2,,,,,,0,,,,,english,0,0,,,,,,0,,,,,,,0,,2024-01-26,,,E-301,book,,,,,,,,Dark blue book cover with gold lettering on the spine for the title.,,,John W. Lovell Co,,,,,,,,,,,,,,,,,,,,,,,,,Don Qruixote,Translated by De La Mancha,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,2024-01-26T09:31:58,Unknown,,false,,81E70BCF-FAF8-4BC8-BADB-054897967903
E-279,0,,,,E-279,The blue window,muecke,2024-01-26,,,,,,,,0,Temple Bailey,,0,0,,1926,,,0,,,0,,,,,,,,,,,065\E279.JPG                                                ,2,,,,,,0,,,,,english,0,0,,,,,,0,,,,,,,0,,2024-01-26,,,E-279,book,,,,,,,,This is a dark blue coloerd book with black print. The spine is faded of the dark blue from light .,,,Penn,,Philadephia,,,,,,,,,,,,,,,,,,,,,,,The Blue Window,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,2024-01-26T09:37:14,Unknown,,false,,4BBFEC19-C936-4DC1-A110-974843770895
E-312,0,,,,E-312,Deerslayer,muecke,2024-01-26,,,,,,,,0,J.Fenimore Cooper,,0,0,,1889,,,0,,,0,,,,,,,,,,,065\E312.JPG                                                ,2,,,,,,0,,,,,,0,0,,,,,,0,,,,,,,0,,2024-01-26,,,E-312,book,,,,,,,,The cover is dark brown with alot of decoration in black and the top cover has the words Arlington Edition.,,,Hurst & Co,,New york,,,,,,,,,,,,,,,,,,,,,,,The Deerslayer,or The First Warpath,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,2024-01-26T10:01:28,Unknown,,false,,561D0C47-9A6A-444B-9E4A-421841896640
E-291,0,,,,E-291,The LAsty days of Pompeii,,2024-01-26,,,,,,,,0,Bulwer-Lytton,,0,0,,,,,0,,,0,,,,,,,,,,,065\E291.JPG                                                ,2,,,,,,0,,,,,english,0,0,,,,,,0,,,,,,,0,,2024-01-26,,,E-291,book,,,,,,,,This is a red covered book with a picture of a statue.  in whiteI has black lettering,,,Grosset& Dunlop,,,,,,,,,,,,,,,,,vocano Destroyed Pompeii,,,,,,,,The Last Days of Pompeii,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,2024-01-26T10:19:31,Unknown,,false,,255A066A-12E0-4F6A-9571-532349158118
E-270,0,,,illistrations by Charles Wrenn,E-270,Boys scout book,muecke,2024-01-26,,,,,,,,0,Lieut. Howard Payson,,0,0,,1916,Boys scout storybook,,0,,,0,,,,,,,,,,,065\E270.JPG                                                ,2,,,,,,0,,,,,,0,0,,,,,,0,,,,,,,0,,2024-01-26,,,E-270,book,,,,,,,,Light tan book with 3 boy scouts on the cover with a map and the title in black writing. The spine has a boy scout and the trademark of a hat.,,,Hurst & Co,,,,,,,,,,,,,,,,,,,,,,,,,The Boys Scouts Under Sealed Orders,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,2024-01-26T10:27:45,Unknown,,false,,448BB3FD-015A-422E-95DF-658645810997
